feature,importance_random,sd_random,importance_grouped,sd_grouped,absolute_change,retained_fraction
pcuac_aa_frac_W,0.027709672898528926,0.005982363137683961,0.024948801709421774,0.006748591409176696,-0.0027608711891071516,0.9
pcuac_aa_frac_I,0.014178127422291811,0.004560602505624384,0.012911022670784792,0.0037778582097079553,-0.0012671047515070196,0.911
pcuac_aa_frac_F,0.01397513123587317,0.002671627504568397,0.012817615854820292,0.0023277076872940733,-0.001157515381052878,0.917
pcuac_aa_frac_C,0.010143353971169156,0.0019205194045006872,0.0106133724909846,0.0053485023089014025,0.0004700185198154433,1.046
pcuac_isoelectric_point,0.009940468151138863,0.00499050096296181,0.008724765201130686,0.0032045772928290766,-0.001215702950008177,0.878
pcuac_gravy,0.009319477947887976,0.004180102287881584,0.007114138148883275,0.005364177062077748,-0.0022053397990047007,0.763
pcuac_aa_frac_Y,0.008064777399064166,0.004293188604198969,0.007073709092703713,0.0028745542182549767,-0.000991068306360453,0.877
pcuac_aa_frac_M,0.0069250415315398745,0.0020455137147264496,0.004705356576681688,0.0025888248980093596,-0.002219684954858187,0.679
pcuac_length,0.006540886714352825,0.0024273015752599176,0.006377200500244433,0.0037161170217920457,-0.00016368621410839217,0.975
pcuac_aa_frac_H,0.005257295398382315,0.0022950202584123788,0.004924503217354814,0.004563334301752988,-0.0003327921810275013,0.937
pcuac_aa_frac_N,0.004918767009658521,0.0033335655514030458,0.005728167160383617,0.001998892655147888,0.0008094001507250965,1.165
pcuac_aa_frac_R,0.004734576993038935,0.0030235696488997983,0.00503438961049669,0.003746051372137556,0.00029981261745775506,1.063
pcuac_aa_frac_G,0.004616153683146178,0.0027933425087976176,0.002668164398137112,0.002634930344498894,-0.001947989285009066,0.578
pcuac_aa_frac_P,0.004499165322435857,0.0026058761261243545,0.004065933822116263,0.003338752977737661,-0.000433231500319594,0.904
pcuac_aa_frac_V,0.004129623376385918,0.0014471103351011054,0.0021013242368342943,0.0025100600678513384,-0.0020282991395516236,0.509
pcuac_molecular_weight,0.00407964644285161,0.002409407401413494,0.005611425857022671,0.003936690348510233,0.0015317794141710616,1.375
pcuac_aa_frac_K,0.003666022628425021,0.0020947758740582707,0.003992200070085144,0.0027317088000526814,0.00032617744166012295,1.089
pcuac_aa_frac_T,0.0035985858636410463,0.0019077590515851933,0.0035395571807258696,0.0034269353619586444,-5.90286829151767e-05,0.984
pcuac_aromaticity,0.0035720152103891232,0.00385678594608466,0.00813878967467022,0.0035003593344751396,0.004566774464281096,2.278
pcuac_aa_frac_D,0.002904179380453133,0.0024257672976340074,0.000985481650983935,0.0020633298749872697,-0.0019186977294691982,0.339
pcuac_aa_frac_E,0.0027385377383335975,0.002287318694413973,0.001516046249166707,0.0033773264405537787,-0.0012224914891668904,0.554
pcuac_aa_frac_Q,0.0027272164790349885,0.0032588094517972516,0.0034966569192596705,0.0029709011829566942,0.0007694404402246819,1.282
pcuac_aa_frac_A,0.0019028495333574913,0.0035479070636934965,0.0009214961302883464,0.0022680807693584424,-0.0009813534030691448,0.484
pcuac_aa_frac_L,0.00046544541046207095,0.0025611716650856603,0.00014955998087999177,0.004474243029715567,-0.0003158854295820792,
pcuac_aa_frac_S,-0.00017114634092356027,0.003753578079093813,-0.0011017563635856997,0.0014722543367699176,-0.0009306100226621394,
