model,metric,grouped,random,absolute_drop,percent_drop
dummy_stratified,f1,0.11269920051051129,0.1110765100671141,-0.00162269044339719,-1.5
dummy_stratified,roc_auc,0.49994884541999857,0.49820034289741955,-0.0017485025225790207,-0.4
logistic_regression,f1,0.27552768974746344,0.2734100700874457,-0.002117619660017722,-0.8
logistic_regression,roc_auc,0.6749918089415868,0.6735182491293957,-0.0014735598121911053,-0.2
random_forest,f1,0.30174774364495716,0.305909162505877,0.004161418860919863,1.4
random_forest,roc_auc,0.8044966666192553,0.806727165644802,0.0022304990255466173,0.3
