genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
luteimonas,12.0,9.0,3.0,0.7395,0.77,0.7939999999999999,0.25,0.05449999999999988,Mixed
lysobacter,12.0,7.0,5.0,0.77075,0.784,0.8,0.4166666666666667,0.029249999999999998,Mixed
xanthobacter,12.0,12.0,0.0,0.694,0.699,0.699,0.0,0.0050000000000000044,PCuAC only
oceanisphaera,11.0,2.0,9.0,0.6825,0.685,0.692,0.8181818181818182,0.009499999999999953,Mixed
martinezella,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
phyllobacterium,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
stutzerimonas,11.0,7.0,4.0,0.714,0.714,0.714,0.36363636363636365,0.0,Mixed
novosphingobium,11.0,11.0,0.0,0.357,0.714,0.722,0.0,0.365,PCuAC only
noviherbaspirillum,11.0,10.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,Mixed
pseudidiomarina,11.0,11.0,0.0,0.763,0.763,1.1480000000000001,0.0,0.3850000000000001,PCuAC only
shinella,11.0,8.0,3.0,0.0,0.0,0.0,0.2727272727272727,0.0,Mixed
micromonospora,11.0,11.0,0.0,0.735,0.735,0.738,0.0,0.0030000000000000027,PCuAC only
thiomicrorhabdus,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
vogesella,11.0,11.0,0.0,0.0,0.7250000000000001,0.7250000000000001,0.0,0.7250000000000001,PCuAC only
arcobacter,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pseudoduganella,10.0,6.0,4.0,0.769,0.772,0.781,0.4,0.01200000000000001,Mixed
methylorubrum,10.0,10.0,0.0,0.6965,0.7040000000000001,0.7040000000000001,0.0,0.007500000000000062,PCuAC only
acidovorax,10.0,10.0,0.0,0.9400000000000001,1.481,1.481,0.0,0.541,PCuAC only
aromatoleum,10.0,10.0,0.0,0.746,0.746,0.746,0.0,0.0,PCuAC only
ramlibacter,10.0,4.0,6.0,0.758,0.769,0.7855000000000001,0.6,0.02750000000000008,Mixed
celeribacter,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
kaistia,10.0,7.0,3.0,0.7065,0.714,0.71775,0.3,0.011249999999999982,Mixed
rhodopseudomonas,10.0,10.0,0.0,0.694,0.694,0.7015,0.0,0.007500000000000062,PCuAC only
roseateles,10.0,9.0,1.0,0.746,0.746,0.7565,0.1,0.010499999999999954,Mixed
aliivibrio,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
kordiimonas,9.0,9.0,0.0,0.746,0.752,0.752,0.0,0.006000000000000005,PCuAC only
ectopseudomonas,9.0,9.0,0.0,0.714,0.714,0.714,0.0,0.0,PCuAC only
shimia,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
rhodovulum,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
aliiroseovarius,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pseudooceanicola,9.0,9.0,0.0,0.0,0.0,0.73,0.0,0.73,PCuAC only
allobosea,9.0,9.0,0.0,0.709,0.7250000000000001,0.7250000000000001,0.0,0.016000000000000125,PCuAC only
brachybacterium,9.0,1.0,8.0,0.73,0.741,0.752,0.8888888888888888,0.02200000000000002,Mixed
ottowia,9.0,8.0,1.0,0.719,0.735,0.752,0.1111111111111111,0.03300000000000003,Mixed
neorhizobium,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
herbaspirillum,9.0,7.0,2.0,0.0,0.0,0.0,0.2222222222222222,0.0,Mixed
microbulbifer,8.0,6.0,2.0,0.0,0.0,0.19525,0.25,0.19525,Mixed
pelagibacterium,8.0,7.0,1.0,0.0,0.0,0.0,0.125,0.0,Mixed
pseudovibrio,8.0,7.0,1.0,0.7250000000000001,0.7250000000000001,0.7250000000000001,0.125,0.0,Mixed
aureimonas,8.0,8.0,0.0,0.0,0.3495,0.7065,0.0,0.7065,PCuAC only
thiothrix,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
yoonia,8.0,8.0,0.0,0.0,0.0,0.7095,0.0,0.7095,PCuAC only
rhodanobacter,8.0,2.0,6.0,0.775,0.781,0.781,0.75,0.006000000000000005,Mixed
paraglaciecola,8.0,6.0,2.0,0.0,0.0,0.0,0.25,0.0,Mixed
meiothermus,8.0,8.0,0.0,0.7939999999999999,1.581,1.59025,0.0,0.79625,PCuAC only
thioclava,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
spiribacter,8.0,8.0,0.0,0.769,0.775,0.7765,0.0,0.007499999999999951,PCuAC only
aminobacter,7.0,4.0,3.0,0.709,0.709,0.709,0.42857142857142855,0.0,Mixed
afipia,7.0,6.0,1.0,0.7065,0.709,0.714,0.14285714285714285,0.007499999999999951,Mixed
thalassovita,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
paracidovorax,7.0,7.0,0.0,0.73,0.73,0.741,0.0,0.01100000000000001,PCuAC only
metapseudomonas,7.0,7.0,0.0,0.709,0.709,0.709,0.0,0.0,PCuAC only
phenylobacterium,7.0,5.0,2.0,0.7435,0.763,0.781,0.2857142857142857,0.03749999999999998,Mixed
octadecabacter,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pigmentiphaga,7.0,7.0,0.0,0.699,0.699,0.7040000000000001,0.0,0.0050000000000001155,PCuAC only
phaeobacter,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pseudorhizobium,7.0,3.0,4.0,0.0,0.0,0.0,0.5714285714285714,0.0,Mixed
roseicyclus,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
sphaerotilus,7.0,7.0,0.0,0.3705,0.741,0.7605,0.0,0.38999999999999996,PCuAC only
phytopseudomonas,7.0,7.0,0.0,0.714,0.714,0.7164999999999999,0.0,0.0024999999999999467,PCuAC only
ensifer,7.0,5.0,2.0,0.0,0.0,0.345,0.2857142857142857,0.345,Mixed
thalassolituus,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
collimonas,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pseudochrobactrum,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
aquitalea,7.0,7.0,0.0,0.7250000000000001,0.73,0.7355,0.0,0.010499999999999954,PCuAC only
oceanimonas,6.0,1.0,5.0,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.8333333333333334,0.0,Mixed
caldimonas,6.0,4.0,2.0,0.694,0.7015,0.709,0.3333333333333333,0.015000000000000013,Mixed
agarivorans,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
rhodobacter,6.0,6.0,0.0,0.0,0.0,0.5640000000000001,0.0,0.5640000000000001,PCuAC only
peteryoungia,6.0,5.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,Mixed
variovorax,6.0,6.0,0.0,0.74375,0.752,0.7565,0.0,0.012749999999999928,PCuAC only
ochrobactrum,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
curvibacter,6.0,6.0,0.0,0.746,0.752,0.758,0.0,0.01200000000000001,PCuAC only
pararhizobium,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
advenella,6.0,3.0,3.0,0.752,0.752,0.752,0.5,0.0,Mixed
fodinibius,6.0,1.0,5.0,0.769,0.769,0.769,0.8333333333333334,0.0,Mixed
affinundibacterium,6.0,6.0,0.0,0.758,0.758,0.758,0.0,0.0,PCuAC only
cereibacter,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
chelativorans,6.0,5.0,1.0,0.7102499999999999,0.714,0.714,0.16666666666666666,0.003750000000000031,Mixed
chitinimonas,6.0,6.0,0.0,0.71925,0.7675000000000001,0.8,0.0,0.0807500000000001,PCuAC only
uliginosibacterium,6.0,5.0,1.0,0.70525,0.709,0.709,0.16666666666666666,0.00374999999999992,Mixed
azotobacter,6.0,6.0,0.0,0.719,0.719,0.719,0.0,0.0,PCuAC only
skermanella,6.0,6.0,0.0,0.719,0.727,0.7395,0.0,0.020500000000000074,PCuAC only
alcaligenes,6.0,6.0,0.0,0.74225,0.746,0.746,0.0,0.003750000000000031,PCuAC only
leisingera,6.0,6.0,0.0,0.758,0.758,1.3257500000000002,0.0,0.5677500000000002,PCuAC only
ideonella,6.0,6.0,0.0,1.484,1.493,1.5545,0.0,0.07050000000000001,PCuAC only
kingella,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,Both proteins
tabrizicola,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
stappia,6.0,6.0,0.0,0.69,0.6995,0.7210000000000001,0.0,0.03100000000000014,PCuAC only
methylophilus,6.0,6.0,0.0,0.76075,1.1420000000000001,1.5150000000000001,0.0,0.7542500000000001,PCuAC only
tateyamaria,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
methylobacillus,6.0,6.0,0.0,0.752,0.755,1.3175,0.0,0.5654999999999999,PCuAC only
jiella,6.0,6.0,0.0,0.7015,0.714,0.719,0.0,0.01749999999999996,PCuAC only
hyphomonas,6.0,6.0,0.0,0.71975,0.752,0.7835,0.0,0.06374999999999997,PCuAC only
roseomonas,6.0,5.0,1.0,0.735,0.735,0.7395,0.16666666666666666,0.0045000000000000595,Mixed
roseivivax,6.0,6.0,0.0,0.7290000000000001,0.741,0.74925,0.0,0.02024999999999988,PCuAC only
sneathiella,6.0,6.0,0.0,0.7182499999999999,0.746,0.755,0.0,0.03675000000000006,PCuAC only
albidovulum,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
aquamicrobium,6.0,1.0,5.0,0.71675,0.7275,0.73,0.8333333333333334,0.013249999999999984,Mixed
roseobacter,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
iodobacter,5.0,1.0,4.0,0.0,0.0,0.0,0.8,0.0,Mixed
jannaschia,5.0,4.0,1.0,0.0,0.7040000000000001,0.758,0.2,0.758,Mixed
microbacterium,5.0,4.0,1.0,0.746,0.746,0.752,0.2,0.006000000000000005,Mixed
affinirhizobium,5.0,4.0,1.0,0.0,0.0,0.0,0.2,0.0,Mixed
tritonibacter,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
limnohabitans,5.0,5.0,0.0,0.752,0.752,0.752,0.0,0.0,PCuAC only
deefgea,5.0,2.0,3.0,0.735,0.735,0.735,0.6,0.0,Mixed
arsukibacterium,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
fulvimarina,5.0,5.0,0.0,0.699,0.7040000000000001,0.709,0.0,0.010000000000000009,PCuAC only
