genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
capnocytophaga,9.0,9.0,0.0,0.27499999999999997,0.27499999999999997,0.27699999999999997,0.0,0.0020000000000000018,NirK only
rodentibacter,9.0,9.0,0.0,0.294,0.297,0.297,0.0,0.0030000000000000027,NirK only
oceanisphaera,9.0,0.0,9.0,0.27899999999999997,0.27899999999999997,0.27899999999999997,1.0,0.0,Both proteins
formosa,8.0,8.0,0.0,0.27374999999999994,0.27399999999999997,0.27625,0.0,0.0025000000000000577,NirK only
flagellimonas,8.0,8.0,0.0,0.27599999999999997,0.27599999999999997,0.27599999999999997,0.0,0.0,NirK only
brevibacterium,8.0,8.0,0.0,0.9520000000000001,0.955,0.955,0.0,0.0029999999999998916,NirK only
thermomonas,8.0,6.0,2.0,0.532,0.532,0.5334999999999999,0.25,0.0014999999999998348,Mixed
burkholderia,8.0,8.0,0.0,0.272,0.272,0.272,0.0,0.0,NirK only
sinomonas,8.0,8.0,0.0,1.278,1.278,1.278,0.0,0.0,NirK only
sphingobacterium,8.0,8.0,0.0,0.27899999999999997,0.27899999999999997,0.557,0.0,0.2780000000000001,NirK only
castellaniella,8.0,8.0,0.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,0.0,0.0,NirK only
rhodococcus,7.0,5.0,2.0,1.272,1.274,1.274,0.2857142857142857,0.0020000000000000018,Mixed
fodinibius,7.0,2.0,5.0,0.28150000000000003,0.28200000000000003,0.43299999999999994,0.7142857142857143,0.1514999999999999,Mixed
pseudoalteromonas,7.0,4.0,3.0,0.557,0.557,0.557,0.42857142857142855,0.0,Mixed
glutamicibacter,7.0,7.0,0.0,0.9520000000000001,0.9520000000000001,0.9520000000000001,0.0,0.0,NirK only
haemophilus,7.0,7.0,0.0,0.293,0.293,0.2965,0.0,0.003500000000000003,NirK only
bradyrhizobium,7.0,0.0,7.0,0.571,0.571,0.571,1.0,0.0,Both proteins
algoriphagus,7.0,7.0,0.0,0.272,0.272,0.272,0.0,0.0,NirK only
oerskovia,7.0,6.0,1.0,0.952,0.955,0.955,0.14285714285714285,0.0030000000000000027,Mixed
cyclobacterium,7.0,7.0,0.0,0.27,0.27,0.2705,0.0,0.0005000000000000004,NirK only
kingella,7.0,1.0,6.0,0.2575,0.259,0.261,0.8571428571428571,0.003500000000000003,Mixed
aquimarina,7.0,7.0,0.0,0.272,0.272,0.27499999999999997,0.0,0.002999999999999947,NirK only
dietzia,7.0,5.0,2.0,0.958,0.958,0.958,0.2857142857142857,0.0,Mixed
epilithonimonas,6.0,6.0,0.0,0.302,0.302,0.302,0.0,0.0,NirK only
elizabethkingia,6.0,6.0,0.0,0.303,0.303,0.303,0.0,0.0,NirK only
