genus,n_negative,n_positive,median_negative,median_positive,difference
neisseria,5,31,0.00256,0.00259,2.9999999999999645e-05
massilia,6,17,0.00281,0.00281,0.0
nonomuraea,12,11,0.01262,0.01262,0.0
brachybacterium,13,8,0.00641,0.00639,-2.0000000000000052e-05
lysobacter,16,5,0.005265000000000001,0.00531,4.4999999999999034e-05
pseudoxanthomonas,8,12,0.00293,0.00295,2.0000000000000052e-05
rhodanobacter,11,6,0.00268,0.00267,-1.0000000000000026e-05
ramlibacter,6,6,0.0028,0.00279,-1.0000000000000026e-05
pseudomonas,5,5,0.00282,0.00279,-3.000000000000008e-05
