model,accuracy,naive_baseline_accuracy,precision,recall,f1,f1_macro,roc_auc,pr_auc
logistic_regression,0.6182926829268293,0.8878048780487805,0.1701492537313433,0.6195652173913043,0.26697892271662765,0.5044705001052223,0.6662087912087913,0.17216222114885565
random_forest,0.9036585365853659,0.8878048780487805,0.76,0.20652173913043478,0.3247863247863248,0.6364575090773383,0.8475871954132824,0.5378190903159004
