species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
labrenzia sp. ce80,1788986,Labrenzia sp. CE80,0,1,pcuac_only,NA,WP_153770986.1,0
pseudomonas sp. emn2,2615212,Pseudomonas sp. EMN2,0,1,pcuac_only,NA,WP_153787229.1,0
stenotrophomonas sp. mh181796,2339228,Stenotrophomonas sp. MH181796,0,1,pcuac_only,NA,WP_153856389.1,0
shewanella sp. tc10,1419739,Shewanella sp. TC10,0,1,pcuac_only,NA,WP_153915468.1,0
thermochromatium tepidum,1050;316276,Thermochromatium tepidum;Thermochromatium tepidum ATCC 43061,0,1,pcuac_only,NA,WP_153975621.1,1
roseovarius bejariae,2576383,Roseovarius bejariae,0,1,pcuac_only,NA,WP_154152244.1,1
brucella sp. 10rb9213,1844039,Brucella sp. 10RB9213,0,1,pcuac_only,NA,WP_154167340.1,0
duganella aquatilis,2666082,Duganella aquatilis,0,1,pcuac_only,NA,WP_154356932.1,1
arthrobacter sp. bl-252-apc-1a,2606622,Arthrobacter sp. BL-252-APC-1A,0,1,pcuac_only,NA,WP_154578298.1,0
paracoccus shanxieyensis,2675752,Paracoccus shanxieyensis,0,1,pcuac_only,NA,WP_155044202.1,1
pseudovibrio flavus,2529854,Pseudovibrio flavus,0,1,pcuac_only,NA,WP_155133165.1,1
roseibium sp. rksg952,2529384;28211;3437635,Alphaproteobacteria;Roseibium sp. RKSG952;Ruegeria sp. CE12,0,1,pcuac_only,NA,WP_155144969.1,0
roseibium denhamense,76305,Roseibium denhamense,0,1,pcuac_only,NA,WP_155190376.1,1
pseudoduganella ginsengisoli,1462440,Pseudoduganella ginsengisoli,0,1,pcuac_only,NA,WP_155439713.1,1
allochromatium palmeri,231048,Allochromatium palmeri,0,1,pcuac_only,NA,WP_155448836.1,1
luteimonas sp. fcs-9,1547516,Luteimonas sp. FCS-9,0,1,pcuac_only,NA,WP_156170519.1,0
pseudidiomarina andamanensis,1940690,Pseudidiomarina andamanensis,0,1,pcuac_only,NA,WP_156267343.1,1
sphingomonas sp. leaf10,1735676,Sphingomonas sp. Leaf10,0,1,pcuac_only,NA,WP_156359939.1,0
bartonella refiksaydamii,2654951,Bartonella refiksaydamii,0,1,pcuac_only,NA,WP_156850646.1,1
marinobacter algicola,236100;236100;443152,Marinobacter algicola,0,1,pcuac_only,NA,WP_157132724.1,1
azohydromonas aeria,2590212,Azohydromonas aeria,0,1,pcuac_only,NA,WP_157271111.1,1
bradyrhizobium cajani,1928661,Bradyrhizobium cajani,0,1,pcuac_only,NA,WP_157334535.1,1
algicola sagamiensis,1120963;163869;163869,Algicola sagamiensis,0,1,pcuac_only,NA,WP_157369024.1,1
ramlibacter pinisoli,2682844,Ramlibacter pinisoli,0,1,pcuac_only,NA,WP_157401049.1,1
mycobacterium sp. ms1601,1936029,Mycobacterium sp. MS1601,0,1,pcuac_only,NA,WP_157517084.1,0
roseovarius faecimaris,2494550,Roseovarius faecimaris,0,1,pcuac_only,NA,WP_157705769.1,1
idiomarina sp. x4,2055892,Idiomarina sp. X4,0,1,pcuac_only,NA,WP_157803483.1,0
methyloceanibacter marginalis,1774971,Methyloceanibacter marginalis,0,1,pcuac_only,NA,WP_158007916.1,1
colwellia polaris,28228;326537;3459208;326537,Colwellia;Colwellia polaris;Colwellia sp. NW0002-52-1,0,1,pcuac_only,NA,WP_158088513.1,1
tamilnaduibacter salinus,1484056,Tamilnaduibacter salinus,0,1,pcuac_only,NA,WP_158222322.1,1
motilimonas pumila,2303987,Motilimonas pumila,0,1,pcuac_only,NA,WP_158587104.1,1
lautropia dentalis,2490857,Lautropia dentalis,0,1,pcuac_only,NA,WP_158615812.1,1
ketobacter alkanivorans,1917421,Ketobacter alkanivorans,0,1,pcuac_only,NA,WP_158643343.1,1
terricaulis silvestris,2686094,Terricaulis silvestris,0,1,pcuac_only,NA,WP_158764839.1,1
unclassified acidisoma,1641850;1747225;2634065,Acidisoma sp. L85;Acidisoma sp. S159;unclassified Acidisoma,0,1,pcuac_only,NA,WP_158805018.1,1
beijerinckia sp. l45,1641855,Beijerinckia sp. L45,0,1,pcuac_only,NA,WP_158809251.1,0
methylocapsa sp. s129,1641869,Methylocapsa sp. S129,0,1,pcuac_only,NA,WP_158815746.1,0
rhodanobacter sp. l36,1747221,Rhodanobacter sp. L36,0,1,pcuac_only,NA,WP_158886131.1,0
caulobacter sp. s45,1641861,Caulobacter sp. S45,0,1,pcuac_only,NA,WP_158912922.1,0
chachezhania sediminis,2599291,Chachezhania sediminis,0,1,pcuac_only,NA,WP_158965312.1,1
paraglaciecola sp. l3a3,2686358,Paraglaciecola sp. L3A3,0,1,pcuac_only,NA,WP_158965509.1,0
bradyrhizobium sp. s69,1641856,Bradyrhizobium sp. S69,0,1,pcuac_only,NA,WP_159012591.1,0
polynucleobacter rarus,556055,Polynucleobacter rarus,0,1,pcuac_only,NA,WP_159077522.1,1
sneathiella glossodoripedis,1236958;418853,Sneathiella glossodoripedis;Sneathiella glossodoripedis JCM 23214,0,1,pcuac_only,NA,WP_159104381.1,1
zhongshania aliphaticivorans,1470434,Zhongshania aliphaticivorans,0,1,pcuac_only,NA,WP_159267364.1,1
stenotrophomonas sp. 364,2691571,Stenotrophomonas sp. 364,0,1,pcuac_only,NA,WP_159496076.1,0
alteromonas sp. kul106,2480799,Alteromonas sp. KUL106,0,1,pcuac_only,NA,WP_159580592.1,0
chelativorans xinjiangensis,2681485,Chelativorans xinjiangensis,0,1,pcuac_only,NA,WP_159589043.1,1
hydrogenophaga sp. bps33,2651974,Hydrogenophaga sp. BPS33,0,1,pcuac_only,NA,WP_159595785.1,0
starkeya nomas,2666134,Starkeya nomas,0,1,pcuac_only,NA,WP_159598823.1,1
