species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
massilia aerilata,453817,Massilia aerilata,1,1,both,WP_379770834.1,WP_379772980.1,1
flavobacterium chungangensis,2708132,Flavobacterium chungangensis,1,0,nirK_only,WP_379797909.1,NA,1
flavobacterium zhoui,3230414,Flavobacterium zhoui,1,0,nirK_only,WP_379849727.1,NA,1
flavobacterium fructosi,3230416,Flavobacterium fructosi,1,0,nirK_only,WP_379857728.1,NA,1
mariniflexile ostreae,1520892,Mariniflexile ostreae,1,0,nirK_only,WP_379861343.1,NA,1
lacinutrix gracilariae,1747198,Lacinutrix gracilariae,1,0,nirK_only,WP_379902029.1,NA,1
dokdonella ginsengisoli,363846,Dokdonella ginsengisoli,1,0,nirK_only,WP_380021703.1,NA,1
deinococcus navajonensis,309884,Deinococcus navajonensis,1,0,nirK_only,WP_380039497.1,NA,1
devosia honganensis,1610527,Devosia honganensis,1,1,both,WP_380097118.1,WP_380097019.1,1
iodobacter arcticus,590593,Iodobacter arcticus,1,1,both,WP_380188372.1,WP_380188351.1,1
steroidobacter flavus,1842136,Steroidobacter flavus,1,1,both,WP_380596465.1,WP_380597830.1,1
salinimicrobium gaetbulicola,999702,Salinimicrobium gaetbulicola,1,0,nirK_only,WP_380738282.1,NA,1
salinimicrobium flavum,1737065,Salinimicrobium flavum,1,0,nirK_only,WP_380749858.1,NA,1
streptomyces flavalbus,2665155,Streptomyces flavalbus,1,0,nirK_only,WP_381604716.1,NA,1
streptomyces mirabilis,68239,Streptomyces mirabilis,1,0,nirK_only,WP_382188167.1,NA,1
gordonia phosphorivorans,1056982,Gordonia phosphorivorans,1,0,nirK_only,WP_382364526.1,NA,1
lentzea rhizosphaerae,2041025,Lentzea rhizosphaerae,1,0,nirK_only,WP_382368162.1,NA,1
formosa undariae,1325436,Formosa undariae,1,0,nirK_only,WP_382382233.1,NA,1
fontibacter flavus,654838,Fontibacter flavus,1,0,nirK_only,WP_382387644.1,NA,1
flexivirga alba,702742,Flexivirga alba,1,0,nirK_only,WP_382400846.1,NA,1
fodinicurvata halophila,1419723,Fodinicurvata halophila,1,0,nirK_only,WP_382423411.1,NA,1
winogradskyella pulchriflava,1110688,Winogradskyella pulchriflava,1,0,nirK_only,WP_386063812.1,NA,1
streptosporangium jomthongense,1193683,Streptosporangium jomthongense,1,0,nirK_only,WP_386187803.1,NA,1
streptomyces xiangluensis,2665720,Streptomyces xiangluensis,1,0,nirK_only,WP_386337754.1,NA,1
streptomyces yangpuensis,1463904;1648182;1883;1648182;1648182;1873416;1883,Streptomyces yangpuensis,1,1,both,WP_386454735.1,WP_030956899.1,1
luteimonas notoginsengisoli,1578200,Luteimonas notoginsengisoli,1,0,nirK_only,WP_386705810.1,NA,1
luteimonas soli,1648966,Luteimonas soli,1,0,nirK_only,WP_386744702.1,NA,1
lysobacter yangpyeongensis,346182,Lysobacter yangpyeongensis,1,1,both,WP_386752252.1,WP_386752052.1,1
lysobacter koreensis,266122,Lysobacter koreensis,1,0,nirK_only,WP_386810818.1,NA,1
devosia albogilva,429726,Devosia albogilva,1,0,nirK_only,WP_386832688.1,NA,1
oerskovia jenensis,162169,Oerskovia jenensis,1,0,nirK_only,WP_387485256.1,NA,1
kocuria nitroreducens,3058914,Kocuria nitroreducens,1,0,nirK_only,WP_387741781.1,NA,1
streptomyces prasinus,67345,Streptomyces prasinus,1,0,nirK_only,WP_388093883.1,NA,1
streptomyces phaeofaciens,68254,Streptomyces phaeofaciens,1,0,nirK_only,WP_388403069.1,NA,1
bifidobacterium apicola,3230739,Bifidobacterium apicola,1,0,nirK_only,WP_390134996.1,NA,1
streptomyces fungicidicus,68203,Streptomyces fungicidicus,1,0,nirK_only,WP_390366498.1,NA,1
streptomyces canus,58343,Streptomyces canus,1,0,nirK_only,WP_391184911.1,NA,1
streptomyces longwoodensis,68231,Streptomyces longwoodensis,1,0,nirK_only,WP_391878785.1,NA,1
streptomyces pilosus,28893,Streptomyces pilosus,1,0,nirK_only,WP_392031949.1,NA,1
arsenicicoccus cauae,2663847,Arsenicicoccus cauae,1,0,nirK_only,WP_392466746.1,NA,1
unclassified spirillospora,2642701;3364525;3364529,unclassified Spirillospora;Spirillospora sp. NPDC048823;Spirillospora sp. NPDC077959,1,0,nirK_only,WP_392906478.1,NA,1
streptomyces tendae,1932,Streptomyces tendae,1,0,nirK_only,WP_393219828.1,NA,1
sphaerimonospora cavernae,1740611,Sphaerimonospora cavernae,1,0,nirK_only,WP_394303434.1,NA,1
salinimicrobium xinjiangense,1123235;438596,Salinimicrobium xinjiangense;Salinimicrobium xinjiangense DSM 19287,1,0,nirK_only,WP_394330241.1,NA,1
flavobacterium daejeonense,1121887;350893,Flavobacterium daejeonense;Flavobacterium daejeonense DSM 17708,1,0,nirK_only,WP_394330975.1,NA,1
bizionia paragorgiae,283786,Bizionia paragorgiae,1,0,nirK_only,WP_394332352.1,NA,1
arenibacter palladensis,237373,Arenibacter palladensis,1,0,nirK_only,WP_394333314.1,NA,1
maribacter hydrothermalis,1836467,Maribacter hydrothermalis,1,0,nirK_only,WP_394333951.1,NA,1
arenibacter hampyeongensis,1028743;178469;2183746,Arenibacter;Arenibacter hampyeongensis;Arenibacter sp. N53,1,0,nirK_only,WP_394335738.1,NA,1
flavobacterium laiguense,2169409,Flavobacterium laiguense,1,0,nirK_only,WP_394335997.1,NA,1
flavobacterium fluviale,2249356,Flavobacterium fluviale,1,0,nirK_only,WP_394336095.1,NA,1
flavobacterium cutihirudinis,1265740,Flavobacterium cutihirudinis,1,0,nirK_only,WP_394336441.1,NA,1
flavobacterium ustbae,2488790,Flavobacterium ustbae,1,0,nirK_only,WP_394343506.1,NA,1
subsaximicrobium wynnwilliamsii,291179,Subsaximicrobium wynnwilliamsii,1,0,nirK_only,WP_394343955.1,NA,1
flavobacterium weaverense,271156,Flavobacterium weaverense,1,0,nirK_only,WP_394345433.1,NA,1
haloflavibacter putidus,2576776,Haloflavibacter putidus,1,0,nirK_only,WP_394348485.1,NA,1
leptobacterium flavescens,472055,Leptobacterium flavescens,1,0,nirK_only,WP_394352006.1,NA,1
flavobacterium pokkalii,1940408,Flavobacterium pokkalii,1,0,nirK_only,WP_394354336.1,NA,1
flavobacterium plurextorum,1114867;237;2986832,Flavobacterium;Flavobacterium plurextorum;Flavobacterium sp. N2469,1,0,nirK_only,WP_394364136.1,NA,1
flavobacterium chungbukense,877464,Flavobacterium chungbukense,1,0,nirK_only,WP_394799456.1,NA,1
uncultured croceitalea,1798908,uncultured Croceitalea sp.,1,0,nirK_only,WP_394974968.1,NA,1
caldimonas aquatica,376175,Caldimonas aquatica,1,1,both,WP_395139840.1,WP_264894193.1,1
flavobacterium collinsii,1114861,Flavobacterium collinsii,1,0,nirK_only,WP_395340610.1,NA,1
flavobacterium bizetiae,2704140,Flavobacterium bizetiae,1,0,nirK_only,WP_395363431.1,NA,1
actinomadura luteofluorescens,46163,Actinomadura luteofluorescens,1,0,nirK_only,WP_396079576.1,NA,1
microbacterium alkaliflavum,3248839,Microbacterium alkaliflavum,1,0,nirK_only,WP_396639114.1,NA,1
massilia orientalis,3050128,Massilia orientalis,1,0,nirK_only,WP_400189756.1,NA,1
oerskovia paurometabola,162170,Oerskovia paurometabola,1,1,both,WP_400273264.1,WP_204810094.1,1
janibacter terrae,103817,Janibacter terrae,1,0,nirK_only,WP_400293472.1,NA,1
micrococcus endophyticus,455343,Micrococcus endophyticus,1,0,nirK_only,WP_400343188.1,NA,1
isoptericola rhizosphaerae,254250;3377837;3695022,Isoptericola;Isoptericola rhizosphaerae;Isoptericola sp. GX10416,1,0,nirK_only,WP_402371931.1,NA,1
