feature,mean_importance,std_importance
pcuac_length,0.1665982187596665,0.030540446314056124
pcuac_aa_frac_F,0.1384207312614007,0.03477605101723206
pcuac_aa_frac_W,0.1334403538877498,0.02080642849449167
pcuac_molecular_weight,0.11170122969787677,0.02089194153893224
pcuac_isoelectric_point,0.10656147429350546,0.022771402405384267
pcuac_aa_frac_M,0.09308196835853835,0.026214273223593182
pcuac_aa_frac_R,0.08729257290680774,0.021052602156630996
pcuac_aa_frac_P,0.08179756950535169,0.022274845863645174
pcuac_aa_frac_H,0.0816914019875107,0.019758645159245015
pcuac_aa_frac_Q,0.07833874283703122,0.02318402644585922
pcuac_aa_frac_I,0.07623676718048758,0.030018523769838334
pcuac_aa_frac_K,0.07533400101255908,0.022573952980875236
pcuac_aa_frac_Y,0.07314002592058481,0.023743018700085664
pcuac_aa_frac_T,0.07159645559010823,0.025908231254304144
pcuac_aromaticity,0.06734609972260595,0.030783322704581177
pcuac_aa_frac_G,0.06701401205360932,0.024221874147785146
pcuac_aa_frac_V,0.05518777769009228,0.02307781604205974
pcuac_aa_frac_L,0.047440617634812714,0.02397213010027156
pcuac_aa_frac_D,0.04628795898112947,0.02880885854668865
pcuac_aa_frac_C,0.03674890458387916,0.011927809571103521
pcuac_gravy,0.03645078788984395,0.020814982693932484
pcuac_aa_frac_S,0.0345695492224609,0.023051041638317716
pcuac_aa_frac_E,0.03150456589084735,0.02403854342454032
pcuac_aa_frac_N,0.02796333685654757,0.030132776725263637
pcuac_aa_frac_A,0.02323461225163427,0.027057829989023428
