feature,mean_importance,std_importance
nirK_aa_frac_W,0.09556097360810205,0.030926694692393043
nirK_aa_frac_C,0.05951410304058258,0.019261353105092152
nirK_aa_frac_A,0.0387768976595046,0.021114245356824855
nirK_aa_frac_G,0.037379271334077604,0.017244151749436602
nirK_length,0.033982439291113366,0.01364324783344743
nirK_gravy,0.01921445338669752,0.0076908872801536386
nirK_aa_frac_Y,0.018518263660970313,0.014529645475784404
nirK_aa_frac_P,0.01605688581086767,0.01306391152931493
nirK_aa_frac_R,0.015054615587691212,0.01531911136460944
nirK_aa_frac_S,0.01386185083252675,0.008854517972967742
nirK_aa_frac_I,0.013852507888961052,0.019935175078904584
nirK_aa_frac_E,0.010559275454118777,0.006511460029329355
nirK_aa_frac_L,0.008109821491957492,0.010682366293537493
nirK_aa_frac_N,0.008024875271771599,0.018357105998391656
nirK_aromaticity,0.007315220181119882,0.0068185367763623035
nirK_aa_frac_M,0.007210627492738042,0.009248570577841281
nirK_aa_frac_D,0.007013050629781104,0.009005748165642135
nirK_aa_frac_K,0.006376391322087356,0.01616431173756816
nirK_aa_frac_V,0.0035958687677094202,0.008069736453372051
nirK_aa_frac_F,0.0011587701138506415,0.011888949437021259
nirK_isoelectric_point,0.0009956397090517728,0.006929355238314038
nirK_aa_frac_T,-0.0018033201982311435,0.006405869903344792
nirK_aa_frac_H,-0.003266159773707644,0.009420072948251212
nirK_aa_frac_Q,-0.006035124692587054,0.0076800838762907464
