model,metric,grouped,random,absolute_drop,percent_drop
dummy_stratified,f1,0.213160624230752,0.21017288615965987,-0.002987738071092122,-1.4
dummy_stratified,roc_auc,0.5037915015307545,0.5006104690759425,-0.0031810324548119384,-0.6
logistic_regression,f1,0.5349325554593065,0.5591312951302554,0.024198739670948877,4.3
logistic_regression,roc_auc,0.7929306979294934,0.8255184525773467,0.03258775464785324,3.9
random_forest,f1,0.5540926242297464,0.6681382151014702,0.11404559087172383,17.1
random_forest,roc_auc,0.8560605112105916,0.9031158709190505,0.04705535970845898,5.2
