feature_removed,n_features,score_without,sd_without,mean_drop,sd_of_paired_diff,folds_worse_without,n_folds
nirK_aa_frac_W,24,0.8485817335684754,0.041873439593127317,0.007478777642116036,0.010736813435732814,20,25
nirK_aa_frac_A,24,0.8521878765831638,0.04504815605527762,0.0038726346274276535,0.0065343305457210565,17,25
nirK_aa_frac_C,24,0.853685913608076,0.04454536683115505,0.002374597602515518,0.009725441077094351,16,25
nirK_aa_frac_R,24,0.8567212591471245,0.04230399670538701,-0.0006607479365330038,0.006224739183144849,15,25
